Metadata creation date: 31st Oct 2017,,
Metadata original file:  raw_house_completions.csv,,
Metadata original data source: https://data.gov.ie/,,
county,year,number
Carlow,1978,1
Cavan,1978,10
Clare,1978,65
Cork,1978,367
Donegal,1978,27
Dublin,1978,1761
Galway,1978,173
Kerry,1978,32
Kildare,1978,154
Kilkenny,1978,82
Laois,1978,13
Leitrim,1978,6
Limerick,1978,154
Longford,1978,36
Louth,1978,84
Mayo,1978,37
Meath,1978,84
Monaghan,1978,NA
Offaly,1978,6
Roscommon,1978,20
Sligo,1978,NA
Tipperary,1978,29
Waterford,1978,189
Westmeath,1978,177
Wexford,1978,43
Wicklow,1978,228
Carlow,1979,5
Cavan,1979,15
Clare,1979,18
Cork,1979,655
Donegal,1979,38
Dublin,1979,2479
Galway,1979,433
Kerry,1979,45
Kildare,1979,332
Kilkenny,1979,83
Laois,1979,26
Leitrim,1979,3
Limerick,1979,134
Longford,1979,10
Louth,1979,276
Mayo,1979,42
Meath,1979,283
Monaghan,1979,42
Offaly,1979,6
Roscommon,1979,26
Sligo,1979,7
Tipperary,1979,5
Waterford,1979,156
Westmeath,1979,213
Wexford,1979,39
Wicklow,1979,194
Carlow,1980,44
Cavan,1980,11
Clare,1980,186
Cork,1980,1402
Donegal,1980,40
Dublin,1980,4678
Galway,1980,268
Kerry,1980,81
Kildare,1980,668
Kilkenny,1980,83
Laois,1980,43
Leitrim,1980,5
Limerick,1980,351
Longford,1980,22
Louth,1980,369
Mayo,1980,75
Meath,1980,373
Monaghan,1980,29
Offaly,1980,32
Roscommon,1980,52
Sligo,1980,65
Tipperary,1980,102
Waterford,1980,190
Westmeath,1980,121
Wexford,1980,62
Wicklow,1980,257
Carlow,1981,97
Cavan,1981,14
Clare,1981,267
Cork,1981,1707
Donegal,1981,71
Dublin,1981,4012
Galway,1981,488
Kerry,1981,112
Kildare,1981,731
Kilkenny,1981,145
Laois,1981,77
Leitrim,1981,9
Limerick,1981,619
Longford,1981,90
Louth,1981,209
Mayo,1981,135
Meath,1981,423
Monaghan,1981,46
Offaly,1981,60
Roscommon,1981,64
Sligo,1981,104
Tipperary,1981,159
Waterford,1981,252
Westmeath,1981,140
Wexford,1981,81
Wicklow,1981,673
Carlow,1982,61
Cavan,1982,35
Clare,1982,349
Cork,1982,1298
Donegal,1982,73
Dublin,1982,4149
Galway,1982,279
Kerry,1982,171
Kildare,1982,603
Kilkenny,1982,62
Laois,1982,29
Leitrim,1982,6
Limerick,1982,456
Longford,1982,54
Louth,1982,238
Mayo,1982,59
Meath,1982,266
Monaghan,1982,14
Offaly,1982,30
Roscommon,1982,75
Sligo,1982,137
Tipperary,1982,115
Waterford,1982,284
Westmeath,1982,156
Wexford,1982,52
Wicklow,1982,397
Carlow,1983,99
Cavan,1983,30
Clare,1983,345
Cork,1983,1511
Donegal,1983,150
Dublin,1983,4331
Galway,1983,460
Kerry,1983,222
Kildare,1983,640
Kilkenny,1983,142
Laois,1983,68
Leitrim,1983,10
Limerick,1983,586
Longford,1983,54
Louth,1983,251
Mayo,1983,84
Meath,1983,277
Monaghan,1983,34
Offaly,1983,119
Roscommon,1983,77
Sligo,1983,180
Tipperary,1983,215
Waterford,1983,299
Westmeath,1983,183
Wexford,1983,63
Wicklow,1983,400
Carlow,1984,64
